p,z,T,Td,u,v
94200.0,631.0,302.95,285.95,0.342,0.940
93900.0,661.0,301.35,280.35,0.342,0.940
92500.0,794.0,299.95,279.95,0.342,0.940
85000.0,1512.0,293.55,274.55,2.298,1.928
74000.0,2690.0,282.35,271.35,2.078,1.668
70900.0,3054.0,281.95,256.95,1.858,1.408
70000.0,3163.0,280.95,261.95,1.638,1.147
68600.0,3323.0,279.95,262.95,5.081,-0.444
67200.0,3487.0,278.95,263.95,5.409,-1.449
66900.0,3523.0,277.95,264.95,5.494,-0.481
66400.0,3583.0,276.90,263.90,5.579,0.488
65100.0,3740.0,275.85,262.85,5.579,0.488
64000.0,3875.0,274.80,261.80,6.072,2.832
62100.0,4115.0,273.75,260.75,6.235,3.600
61200.0,4231.0,272.70,259.70,6.955,1.863
60500.0,4323.0,271.65,258.65,6.379,2.607
60200.0,4362.0,271.05,249.55,5.802,3.350
56600.0,4853.0,270.45,240.45,5.732,-2.086
56100.0,4924.0,270.25,241.25,6.233,-0.513
53700.0,5272.0,267.65,249.65,6.734,1.060
53400.0,5316.0,266.45,242.45,7.236,2.634
51600.0,5589.0,265.25,235.25,7.169,3.367
50400.0,5776.0,264.25,238.75,7.101,4.100
50000.0,5840.0,263.25,242.25,6.668,3.850
49200.0,5961.0,261.85,242.35,6.766,2.463
47700.0,6194.0,260.45,242.45,6.872,2.858
45600.0,6533.0,257.90,238.65,6.979,3.254
44600.0,6700.0,255.35,234.85,5.798,5.798
41600.0,7224.0,252.80,231.05,3.960,3.960
40000.0,7520.0,250.25,227.25,4.169,1.944
37600.0,7958.0,246.25,223.25,3.485,3.397
37200.0,8034.0,244.97,223.37,2.800,4.850
36400.0,8188.0,243.69,223.49,4.290,3.600
34700.0,8527.0,242.41,223.61,5.075,2.367
34000.0,8672.0,241.13,223.73,3.960,3.960
33800.0,8714.0,239.85,223.85,5.469,3.607
32000.0,9102.0,238.10,222.10,6.979,3.254
31300.0,9259.0,236.35,220.35,5.091,5.091
30600.0,9419.0,234.60,218.60,6.979,3.254
30000.0,9560.0,232.85,216.85,5.898,4.130
29000.0,9779.0,227.65,213.15,3.843,5.488
25000.0,10742.0,222.45,209.45,3.888,8.338
23700.0,11088.0,219.05,209.05,3.994,7.720
23600.0,11116.0,217.30,206.80,4.100,7.101
21500.0,11720.0,215.55,204.55,5.023,0.886
20100.0,12157.0,213.80,202.30,1.414,1.414
20000.0,12190.0,212.05,200.05,1.147,1.638
19600.0,12315.0,211.25,199.50,1.434,2.048
18700.0,12605.0,210.45,198.95,6.525,3.043
18400.0,12705.0,209.65,198.40,8.667,-0.758
18200.0,12773.0,208.85,197.85,8.568,-1.511
18000.0,12841.0,211.05,196.55,6.766,-2.463
16000.0,13570.0,213.25,195.25,7.467,-0.874
15700.0,13687.0,213.25,193.58,8.169,0.715
15100.0,13928.0,213.25,191.92,8.887,-2.381
15000.0,13970.0,213.25,190.25,7.921,-2.122
14700.0,14096.0,213.37,188.77,8.075,1.424
14300.0,14269.0,213.49,187.29,11.755,-1.028
14000.0,14402.0,213.61,185.81,8.887,-2.381
13300.0,14723.0,213.73,184.33,8.169,0.715
13000.0,14866.0,213.85,182.85,6.596,-0.085
11800.0,15473.0,214.02,183.02,5.023,-0.886
11400.0,15689.0,214.19,183.19,5.892,1.579
11200.0,15800.0,214.36,183.36,5.600,0.000
11000.0,15912.0,214.54,183.54,7.091,1.250
10500.0,16204.0,214.71,183.71,5.515,-0.972
10200.0,16385.0,214.88,183.88,5.732,2.086
10000.0,16510.0,215.05,184.05,7.583,1.337
9240.0,17004.0,214.68,183.68,0.261,-2.989
8940.0,17210.0,214.31,183.31,0.174,-0.985
7980.0,17920.0,213.94,182.94,4.582,0.401
7690.0,18152.0,213.56,182.56,1.607,-1.915
7330.0,18451.0,213.19,182.19,-5.732,-2.086
7120.0,18633.0,212.82,181.82,-8.700,-0.000
7000.0,18740.0,212.45,181.45,-7.091,1.250
6880.0,18848.0,212.15,181.15,-4.622,2.155
6780.0,18940.0,211.85,180.85,-4.003,1.693
6210.0,19490.0,212.42,181.30,-3.383,1.231
6030.0,19675.0,213.00,181.75,-5.600,-0.000
5800.0,19919.0,213.57,182.20,-4.587,3.212
5540.0,20206.0,214.15,182.65,-1.607,1.915
5440.0,20321.0,214.72,183.10,0.321,0.383
5250.0,20544.0,215.30,183.55,-2.800,-4.850
5110.0,20713.0,215.88,184.00,-2.638,-3.768
5000.0,20850.0,216.45,184.45,-6.598,-1.163
4980.0,20875.0,216.75,184.67,-7.173,-0.628
4830.0,21072.0,217.05,184.88,-6.077,-0.532
4710.0,21233.0,217.35,185.10,-7.921,2.122
4540.0,21469.0,217.65,185.32,-3.586,-0.314
4470.0,21569.0,217.95,185.53,-2.598,-1.500
4390.0,21685.0,218.25,185.75,-4.850,-2.800
4250.0,21893.0,218.55,185.97,-11.128,1.962
4110.0,22108.0,218.85,186.18,-8.645,3.147
4030.0,22234.0,219.15,186.40,-7.583,1.337
3890.0,22461.0,219.45,186.62,-9.786,5.650
3700.0,22783.0,219.75,186.83,-8.200,-0.000
3650.0,22870.0,220.05,187.05,-8.876,0.842
3600.0,22959.0,219.85,186.85,-9.553,1.684
3500.0,23140.0,219.65,186.65,-10.636,-1.875
3350.0,23421.0,219.45,186.45,-9.788,4.564
3310.0,23498.0,219.25,186.25,-8.978,2.639
3240.0,23635.0,219.58,186.58,-8.169,0.715
3100.0,23919.0,219.92,186.92,-9.039,7.585
3000.0,24130.0,220.25,187.25,-9.115,3.318
2960.0,24217.0,220.47,187.37,-9.553,1.684
2790.0,24600.0,220.69,187.49,-6.235,3.600
2680.0,24861.0,220.91,187.61,-5.023,0.886
2630.0,24983.0,221.13,187.73,-7.583,-1.337
2410.0,25550.0,221.35,187.85,-12.113,2.136
2320.0,25797.0,221.57,187.97,-7.432,3.465
2260.0,25967.0,221.79,188.09,-5.023,0.886
2220.0,26083.0,222.01,188.21,-5.515,-0.972
2130.0,26351.0,222.23,188.33,-10.636,1.875
2050.0,26599.0,222.45,188.45,-9.260,2.776
2040.0,26631.0,222.85,188.85,-7.885,3.677
2000.0,26760.0,223.25,189.25,-8.175,2.976
1820.0,27377.9,224.60,190.10,-6.072,2.832
1770.0,27561.6,225.95,190.95,-7.173,0.628
1680.0,27907.6,227.30,191.80,-8.437,5.908
1610.0,28191.5,228.65,192.65,-7.236,2.634
